case,version,n,median_ns,min_ns,max_ns,median_B,median_allocs
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true,baseline,6,35839.5,33886.0,37721.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true,optimized,6,35041.0,34134.0,36662.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false,baseline,6,67692.5,64639.0,67995.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false,optimized,6,66990.0,65161.0,67949.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true,baseline,6,64663.0,64426.0,66775.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true,optimized,6,65215.5,63825.0,67125.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false,baseline,6,72537.0,70650.0,73364.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false,optimized,6,32617.0,31422.0,32755.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true,baseline,6,70015.0,68499.0,71065.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true,optimized,6,32195.5,31678.0,33259.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false,baseline,6,140190.5,135150.0,146577.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false,optimized,6,40860.0,39910.0,41418.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true,baseline,6,138486.0,137322.0,142268.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true,optimized,6,40400.5,39483.0,40712.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false,baseline,6,147776.5,138663.0,148550.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false,optimized,6,147017.5,143545.0,151423.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=true,baseline,6,148564.5,140060.0,150759.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=true,optimized,6,143538.5,141496.0,144694.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=1,baseline,6,211.5,209.7,213.4,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=1,optimized,6,211.55,209.9,215.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=2,baseline,6,457.35,446.5,461.5,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=2,optimized,6,460.04999999999995,455.5,465.5,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=1,baseline,6,3764.5,3748.0,3845.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=1,optimized,6,3809.0,3756.0,3828.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=2,baseline,6,9019.0,8653.0,9152.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=2,optimized,6,8994.5,8478.0,9139.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=4,baseline,6,17954.5,17486.0,18313.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=4,optimized,6,17964.0,16988.0,18362.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=8,baseline,6,36220.0,34748.0,36825.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=8,optimized,6,35287.0,34385.0,36730.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=15,baseline,6,68376.0,63883.0,68847.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=15,optimized,6,66923.5,63422.0,67430.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=16,baseline,6,72212.0,70382.0,72919.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=16,optimized,6,31787.5,31233.0,33530.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=32,baseline,6,143882.0,143669.0,146337.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=32,optimized,6,40496.5,39312.0,42266.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=33,baseline,6,148717.5,145017.0,152242.0,0.0,0.0
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=33,optimized,6,150057.0,149119.0,150949.0,0.0,0.0
