bounds,label,group,sample,peak_rss_KiB
signals,final,BenchmarkExecLocalGet_wago,1,20052
signals,base,BenchmarkExecLocalGet_wago,1,20176
signals,base,BenchmarkExecLocalGet_wago,2,18044
signals,final,BenchmarkExecLocalGet_wago,2,20288
signals,final,BenchmarkExecLocalGet_wago,3,18232
signals,base,BenchmarkExecLocalGet_wago,3,18180
signals,base,BenchmarkExecLocalGet_wago,4,18020
signals,final,BenchmarkExecLocalGet_wago,4,18276
signals,final,BenchmarkExecLocalGet_wago,5,18100
signals,base,BenchmarkExecLocalGet_wago,5,20240
signals,base,BenchmarkExecMemoryLoad_wago,0,17876
signals,final,BenchmarkExecMemoryLoad_wago,0,18220
signals,final,BenchmarkExecMemoryLoad_wago,1,15964
signals,base,BenchmarkExecMemoryLoad_wago,1,18064
signals,base,BenchmarkExecMemoryLoad_wago,2,18004
signals,final,BenchmarkExecMemoryLoad_wago,2,18376
signals,final,BenchmarkExecMemoryLoad_wago,3,20300
signals,base,BenchmarkExecMemoryLoad_wago,3,16196
signals,base,BenchmarkExecMemoryLoad_wago,4,18208
signals,final,BenchmarkExecMemoryLoad_wago,4,19992
signals,final,BenchmarkExecMemoryLoad_wago,5,18228
signals,base,BenchmarkExecMemoryLoad_wago,5,17908
signals,base,BenchmarkWazeroCompile,0,699512
signals,final,BenchmarkWazeroCompile,0,551812
signals,final,BenchmarkWazeroCompile,1,701888
signals,base,BenchmarkWazeroCompile,1,703600
signals,base,BenchmarkWazeroCompile,2,702424
signals,final,BenchmarkWazeroCompile,2,703920
signals,final,BenchmarkWazeroCompile,3,704292
signals,base,BenchmarkWazeroCompile,3,690296
signals,base,BenchmarkWazeroCompile,4,700180
signals,final,BenchmarkWazeroCompile,4,703424
signals,final,BenchmarkWazeroCompile,5,690496
signals,base,BenchmarkWazeroCompile,5,654008
signals,base,BenchmarkWazeroInstantiate,0,137944
signals,final,BenchmarkWazeroInstantiate,0,144032
signals,final,BenchmarkWazeroInstantiate,1,127832
signals,base,BenchmarkWazeroInstantiate,1,104988
signals,base,BenchmarkWazeroInstantiate,2,95148
signals,final,BenchmarkWazeroInstantiate,2,98032
signals,final,BenchmarkWazeroInstantiate,3,111232
signals,base,BenchmarkWazeroInstantiate,3,98560
signals,base,BenchmarkWazeroInstantiate,4,96432
signals,final,BenchmarkWazeroInstantiate,4,94004
signals,final,BenchmarkWazeroInstantiate,5,101432
signals,base,BenchmarkWazeroInstantiate,5,154156
signals,base,BenchmarkWazeroExec,0,80268
signals,final,BenchmarkWazeroExec,0,79776
signals,final,BenchmarkWazeroExec,1,80140
signals,base,BenchmarkWazeroExec,1,77532
signals,base,BenchmarkWazeroExec,2,79900
signals,final,BenchmarkWazeroExec,2,79004
signals,final,BenchmarkWazeroExec,3,77456
signals,base,BenchmarkWazeroExec,3,79808
signals,base,BenchmarkWazeroExec,4,77500
signals,final,BenchmarkWazeroExec,4,80476
signals,final,BenchmarkWazeroExec,5,79240
signals,base,BenchmarkWazeroExec,5,77740
signals,base,BenchmarkMemSumBounds,0,20436
signals,final,BenchmarkMemSumBounds,0,18476
signals,final,BenchmarkMemSumBounds,1,18284
signals,base,BenchmarkMemSumBounds,1,16288
signals,base,BenchmarkMemSumBounds,2,18524
signals,final,BenchmarkMemSumBounds,2,16688
signals,final,BenchmarkMemSumBounds,3,18424
signals,base,BenchmarkMemSumBounds,3,18520
signals,base,BenchmarkMemSumBounds,4,18324
signals,final,BenchmarkMemSumBounds,4,18608
signals,final,BenchmarkMemSumBounds,5,18756
signals,base,BenchmarkMemSumBounds,5,18452
signals,base,BenchmarkJsonAsSerialize_wago,0,37284
signals,final,BenchmarkJsonAsSerialize_wago,0,39468
signals,final,BenchmarkJsonAsSerialize_wago,1,37152
signals,base,BenchmarkJsonAsSerialize_wago,1,37264
signals,base,BenchmarkJsonAsSerialize_wago,2,37400
signals,final,BenchmarkJsonAsSerialize_wago,2,37896
signals,final,BenchmarkJsonAsSerialize_wago,3,37584
signals,base,BenchmarkJsonAsSerialize_wago,3,39604
signals,base,BenchmarkJsonAsSerialize_wago,4,39224
signals,final,BenchmarkJsonAsSerialize_wago,4,37240
signals,final,BenchmarkJsonAsSerialize_wago,5,37580
signals,base,BenchmarkJsonAsSerialize_wago,5,37408
signals,base,BenchmarkJsonAsDeserialize_wago,0,37404
signals,final,BenchmarkJsonAsDeserialize_wago,0,37320
signals,final,BenchmarkJsonAsDeserialize_wago,1,37140
signals,base,BenchmarkJsonAsDeserialize_wago,1,37304
signals,base,BenchmarkJsonAsDeserialize_wago,2,39264
signals,final,BenchmarkJsonAsDeserialize_wago,2,37352
signals,final,BenchmarkJsonAsDeserialize_wago,3,36860
signals,base,BenchmarkJsonAsDeserialize_wago,3,37500
signals,base,BenchmarkJsonAsDeserialize_wago,4,39628
signals,final,BenchmarkJsonAsDeserialize_wago,4,37180
signals,final,BenchmarkJsonAsDeserialize_wago,5,37584
signals,base,BenchmarkJsonAsDeserialize_wago,5,37176
signals,base,BenchmarkJsonAsSerialize_wazero,0,20944
signals,final,BenchmarkJsonAsSerialize_wazero,0,22456
signals,final,BenchmarkJsonAsSerialize_wazero,1,22948
signals,base,BenchmarkJsonAsSerialize_wazero,1,21840
signals,base,BenchmarkJsonAsSerialize_wazero,2,23208
signals,final,BenchmarkJsonAsSerialize_wazero,2,23116
signals,final,BenchmarkJsonAsSerialize_wazero,3,22680
signals,base,BenchmarkJsonAsSerialize_wazero,3,23732
signals,base,BenchmarkJsonAsSerialize_wazero,4,24804
signals,final,BenchmarkJsonAsSerialize_wazero,4,25088
signals,final,BenchmarkJsonAsSerialize_wazero,5,22620
signals,base,BenchmarkJsonAsSerialize_wazero,5,23788
signals,base,BenchmarkJsonAsDeserialize_wazero,0,21352
signals,final,BenchmarkJsonAsDeserialize_wazero,0,23900
signals,final,BenchmarkJsonAsDeserialize_wazero,1,23492
signals,base,BenchmarkJsonAsDeserialize_wazero,1,23000
signals,base,BenchmarkJsonAsDeserialize_wazero,2,23856
signals,final,BenchmarkJsonAsDeserialize_wazero,2,23584
signals,final,BenchmarkJsonAsDeserialize_wazero,3,22996
signals,base,BenchmarkJsonAsDeserialize_wazero,3,23040
signals,base,BenchmarkJsonAsDeserialize_wazero,4,23264
signals,final,BenchmarkJsonAsDeserialize_wazero,4,23432
signals,final,BenchmarkJsonAsDeserialize_wazero,5,23308
signals,base,BenchmarkJsonAsDeserialize_wazero,5,24068
signals,base,BenchmarkCompileCommuteSelfUpdate,0,133872
signals,final,BenchmarkCompileCommuteSelfUpdate,0,130836
signals,final,BenchmarkCompileCommuteSelfUpdate,1,130712
signals,base,BenchmarkCompileCommuteSelfUpdate,1,132896
signals,base,BenchmarkCompileCommuteSelfUpdate,2,132740
signals,final,BenchmarkCompileCommuteSelfUpdate,2,132056
signals,final,BenchmarkCompileCommuteSelfUpdate,3,130752
signals,base,BenchmarkCompileCommuteSelfUpdate,3,135860
signals,base,BenchmarkCompileCommuteSelfUpdate,4,133396
signals,final,BenchmarkCompileCommuteSelfUpdate,4,130852
signals,final,BenchmarkCompileCommuteSelfUpdate,5,132132
signals,base,BenchmarkCompileCommuteSelfUpdate,5,134980
signals,base,BenchmarkExecCommuteSelfUpdate,0,50084
signals,final,BenchmarkExecCommuteSelfUpdate,0,51732
signals,final,BenchmarkExecCommuteSelfUpdate,1,54320
signals,base,BenchmarkExecCommuteSelfUpdate,1,52420
signals,base,BenchmarkExecCommuteSelfUpdate,2,52152
signals,final,BenchmarkExecCommuteSelfUpdate,2,52096
signals,final,BenchmarkExecCommuteSelfUpdate,3,52156
signals,base,BenchmarkExecCommuteSelfUpdate,3,52276
signals,base,BenchmarkExecCommuteSelfUpdate,4,52248
signals,final,BenchmarkExecCommuteSelfUpdate,4,52060
signals,final,BenchmarkExecCommuteSelfUpdate,5,53924
signals,base,BenchmarkExecCommuteSelfUpdate,5,53980
signals,base,BenchmarkKernels,0,20144
signals,final,BenchmarkKernels,0,20064
signals,final,BenchmarkKernels,1,20088
signals,base,BenchmarkKernels,1,19984
signals,base,BenchmarkKernels,2,19988
signals,final,BenchmarkKernels,2,20140
signals,final,BenchmarkKernels,3,19852
signals,base,BenchmarkKernels,3,21988
signals,base,BenchmarkKernels,4,20216
signals,final,BenchmarkKernels,4,19872
signals,final,BenchmarkKernels,5,19784
signals,base,BenchmarkKernels,5,19904
signals,base,BenchmarkSqliBenign,0,13116
signals,final,BenchmarkSqliBenign,0,12896
signals,final,BenchmarkSqliBenign,1,15184
signals,base,BenchmarkSqliBenign,1,13064
signals,base,BenchmarkSqliBenign,2,13160
signals,final,BenchmarkSqliBenign,2,15220
signals,final,BenchmarkSqliBenign,3,13020
signals,base,BenchmarkSqliBenign,3,13168
signals,base,BenchmarkSqliBenign,4,12936
signals,final,BenchmarkSqliBenign,4,15260
signals,final,BenchmarkSqliBenign,5,12944
signals,base,BenchmarkSqliBenign,5,13160
signals,base,BenchmarkDecode,0,104352
signals,final,BenchmarkDecode,0,107788
signals,final,BenchmarkDecode,1,102240
signals,base,BenchmarkDecode,1,98092
signals,base,BenchmarkDecode,2,106268
signals,final,BenchmarkDecode,2,103240
signals,final,BenchmarkDecode,3,100068
signals,base,BenchmarkDecode,3,105164
signals,base,BenchmarkDecode,4,100944
signals,final,BenchmarkDecode,4,104796
signals,final,BenchmarkDecode,5,99456
signals,base,BenchmarkDecode,5,107352
signals,base,BenchmarkValidate,0,83504
signals,final,BenchmarkValidate,0,81288
signals,final,BenchmarkValidate,1,82988
signals,base,BenchmarkValidate,1,91808
signals,base,BenchmarkValidate,2,88720
signals,final,BenchmarkValidate,2,89564
signals,final,BenchmarkValidate,3,88592
signals,base,BenchmarkValidate,3,91596
signals,base,BenchmarkValidate,4,90808
