run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,pre_fix_median,after_vs_pre_fix_percent,benchtime
compact-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,ns/op,57549,59728,3.786338598411798,0.8181818181818182,6,50821,17.526219476200787,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,B/op,26200,14680,-43.969465648854964,0.0021645021645021645,6,14680,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,allocs/op,28,28,0,1,6,28,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as-simd,ns/op,1499318,1302745.5,-13.110794374508938,0.06493506493506493,6,1282242,1.5990351275344317,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as-simd,B/op,144456,145128,0.4651935537464791,0.0021645021645021645,6,145128,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/json-as-simd,allocs/op,183,183,0,1,6,183,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,ns/op,1306688.5,1011910,-22.559202135780644,0.0021645021645021645,6,1025651,-1.3397344710822656,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,B/op,284648,284800,0.05339928613585787,0.0021645021645021645,6,284800,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake-as-simd,allocs/op,139,138,-0.7194244604316502,0.0021645021645021645,6,138,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,ns/op,671576,481756,-28.264857588716687,0.004329004329004329,6,609423.5,-20.94889678524048,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,B/op,146712,146608,-0.07088718032608465,0.0021645021645021645,6,146608,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/utf-as-simd,allocs/op,137,135,-1.4598540145985384,0.0021645021645021645,6,135,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/coremark,ns/op,828243,670874.5,-19.000281318405342,0.13203463203463203,6,626966.5,7.003244989963586,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/coremark,B/op,131216,131200,-0.012193634922574859,0.0021645021645021645,6,131200,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/coremark,allocs/op,96,96,0,1,6,96,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake3,ns/op,1098459.5,934403.5,-14.935097743703796,0.17965367965367965,6,808640.5,15.552399366591207,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake3,B/op,139296,139264,-0.02297266253158403,0.0021645021645021645,6,139264,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/blake3,allocs/op,109,109,0,1,6,109,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/qoi,ns/op,361359,310798,-13.991902789193023,0.3939393939393939,6,213273.5,45.727434491392515,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/qoi,B/op,68064,68032,-0.04701457451810054,0.0021645021645021645,6,68032,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/qoi,allocs/op,92,92,0,1,6,92,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/lz4,ns/op,274154.5,237494.5,-13.372021980306725,0.30952380952380953,6,271193.5,-12.426182780929484,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/lz4,B/op,64064,64048,-0.024975024975026905,0.0021645021645021645,6,64048,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/lz4,allocs/op,68,68,0,1,6,68,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zlib,ns/op,1124158,847048.5,-24.650405014241773,0.04112554112554113,6,793737,6.716519451657166,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zlib,B/op,301256,301240,-0.0053110975383074965,0.0021645021645021645,6,301240,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zlib,allocs/op,175,175,0,1,6,175,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zstd,ns/op,3622446.5,2782987.5,-23.173813609117488,0.06493506493506493,6,2763229.5,0.7150328990045862,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zstd,B/op,1007208,1007200,-0.0007942748667555399,0.0021645021645021645,6,1007200,0,1x
compact-rss-explicit,explicit,BenchmarkCompileCompact/zstd,allocs/op,228,230,0.8771929824561431,0.0021645021645021645,6,230,0,1x
