run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
timed-explicit,explicit,BenchmarkCompileCompact/json-as,final,allocs/op,148,135,-13,-8.783783783783782,0.0021645021645021645,148,-8.783783783783782,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,ns/op,34224215,34056480.5,-167734.5,-0.4901047401671632,0.06493506493506493,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,ns/op,34224215,34514618,290403,0.8485307844168233,0.24025974025974026,34056480.5,1.3452285534907293,0.09307359307359307,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,calls/batch,1,1,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,calls/batch,1,1,0,0,1,1,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,B/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,B/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,allocs/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,allocs/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,B/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,B/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
