goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=false          	    7245	     33220 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=true           	    6897	     35609 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=false          	   13315	     18568 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true           	   10000	     21442 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false          	    8295	     25154 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true           	    8826	     26909 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false          	    3420	     72708 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true           	    3144	     75610 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=15                          	    7993	     31247 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=16                          	   88597	      2706 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=32                          	   75091	      3194 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=33                          	    3476	     70052 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1                     	  983084	       232.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2                     	  527659	       462.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1                    	   59551	      3923 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2                    	   30498	      8047 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8                    	    7221	     31822 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15                   	    4022	     59207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false                  	 4319452	        51.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true                   	 4666490	        51.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false                	  951297	       236.2 ns/op	       0 B/op	       0 allocs/op
