goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=15                   	    3194	     75150 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=16                   	    2968	     79712 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=32                   	    1518	    158455 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=33                   	    1599	    163836 ns/op	       0 B/op	       0 allocs/op
PASS
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanControls/fields=255/ranges=15         	   60568	      3944 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=255/ranges=16         	   57060	      4214 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=15         	   60240	      3997 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=16         	   56151	      4282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=15         	   60618	      3981 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=16         	   56968	      4202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=15        	    3858	     56920 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=16        	    3604	     61453 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=32        	    1395	    145387 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=33        	    1885	    166667 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=1               	 2148700	       112.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=15              	  156296	      1516 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=16              	  149745	      1625 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=32              	   74112	      3232 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=33              	   72121	      3358 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=false         	    3577	     61322 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=true          	    3692	     65759 ns/op	      62 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=false         	    3430	     66105 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=true          	    3142	     70882 ns/op	      68 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=false         	    1016	    228893 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=true          	     978	    236307 ns/op	     170 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=false         	     964	    236996 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=true          	     963	    251790 ns/op	     172 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=false          	    3693	     61399 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=true           	    3606	     62764 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=false          	    3534	     63423 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true           	    3597	     64245 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false          	    1036	    225561 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true           	     972	    240214 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false          	     972	    240770 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true           	     980	    250343 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=15                          	    7525	     30629 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=16                          	    7134	     33664 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=32                          	    3586	     68365 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanSparseReferences/ranges=33                          	    3468	     69787 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1                     	  929342	       229.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2                     	  483657	       500.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1                    	   58054	      4103 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2                    	   24242	      9869 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8                    	    5811	     38368 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15                   	    3219	     74035 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false                  	 4889286	        49.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true                   	 4861944	        49.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=false                	 1000000	       229.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true                 	  938816	       255.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false                	  496556	       498.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true                 	  480699	       490.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false               	   57169	      4109 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true                	   49424	      4843 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false               	   24129	     10254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true                	   25887	     11046 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false               	   10000	     20099 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true                	   12938	     18894 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false               	    6201	     39477 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true                	    6789	     36886 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false              	    3223	     73890 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true               	    3279	     73797 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false              	    3021	     78963 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true               	    3120	     78693 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false              	    1520	    157905 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true               	    1671	    148489 ns/op	       0 B/op	       0 allocs/op
