# round 1
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/validate/raw/requested=4-16      	    2720	     40774 ns/op	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	   15502 B/op	      73 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/backend/raw/requested=0-16       	     380	    301400 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	  133822 B/op	     126 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/backend/raw/requested=1-16       	     408	    295810 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	  133822 B/op	     126 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/backend/raw/requested=2-16       	     364	    333171 ns/op	         2.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	  407203 B/op	     230 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=4/backend/raw/requested=4-16       	     322	    373741 ns/op	         4.000 backend-worker-limit	     16651 body-bytes	         4.000 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	  528005 B/op	     362 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/validate/raw/requested=0-16     	    3314	     36274 ns/op	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    7601 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/validate/raw/requested=1-16     	    2874	     36033 ns/op	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    7602 B/op	      48 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/validate/raw/requested=2-16     	    2337	     46880 ns/op	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	   10488 B/op	      59 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/validate/raw/requested=4-16     	    2526	     46794 ns/op	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	   14282 B/op	      69 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/callers=16/backend/raw/requested=0-16      	     543	    226406 ns/op	         1.000 backend-worker-limit	     16651 body-bytes	        16.00 callers	        43.00 functions	        16.00 gomaxprocs	      2445 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	  133836 B/op	     126 allocs/op
