# sample 1
init crypto/internal/fips140/drbg @0.44 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.45 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.46 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.46 ms, 0.019 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.49 ms, 0.003 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.49 ms, 0.004 ms clock, 408 bytes, 15 allocs
init encoding/json @0.50 ms, 0.003 ms clock, 224 bytes, 2 allocs
init flag @0.51 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.52 ms, 0.019 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.54 ms, 0.002 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.55 ms, 0.011 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.57 ms, 0.001 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.58 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.58 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.59 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.60 ms, 0.001 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.60 ms, 0.042 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.65 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.66 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.66 ms, 0.003 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.67 ms, 0.003 ms clock, 400 bytes, 7 allocs
