bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/ruby	allocs/op	11021	11015	-0.05444152073315056	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/esbuild	ns/op	402360325.5	317109030.5	-21.187798497294928	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/esbuild	B/op	18796328	18683888	-0.5982019466781008	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/esbuild	allocs/op	11041	11039	-0.018114301240834685	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i32	ns/op	198741.5	148678.5	-25.1900081261337	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i32	B/op	27968	27904	-0.22883295194507935	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i32	allocs/op	36	36	0	1	6	6	paired
explicit	BenchmarkCompile/isa_i64	ns/op	205927.5	152781.5	-25.808112078279976	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i64	B/op	27968	27904	-0.22883295194507935	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i64	allocs/op	36	36	0	1	6	6	paired
explicit	BenchmarkCompile/isa_f32	ns/op	125910	92218	-26.758795965372094	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f32	B/op	27400	23272	-15.065693430656935	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f32	allocs/op	45	45	0	1	6	6	paired
explicit	BenchmarkCompile/isa_f64	ns/op	125197.5	92206	-26.35156452804569	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f64	B/op	27400	23272	-15.065693430656935	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f64	allocs/op	45	45	0	1	6	6	paired
explicit	BenchmarkCompile/isa_mem	ns/op	96707.5	78244.5	-19.091590621203114	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_mem	B/op	25896	23064	-10.936051899907318	0.0021645021645021645	6	6	paired
