stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,signals,BenchmarkWazeroExec/nbody.step,wazero,time,ns/op,333962.5,336536,2573.5,0.7705955009918775,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/utf-as.convertN,wazero,time,ns/op,193172,195615.5,2443.5,1.2649348766901936,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/raytrace,wazero,time,ns/op,48518,50807.5,2289.5,4.718867224535228,0.13203463203463203,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/quicksort,wazero,time,ns/op,47639.5,49917.5,2278,4.781746239989926,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_simd_v128,wazero,time,ns/op,184241,186486.5,2245.5,1.2187840925744098,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/dispatch,wazero,time,ns/op,70323.5,72530,2206.5,3.1376424666007763,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/memory_tree,wazero,time,ns/op,85804.5,87945.5,2141,2.4952071278312893,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_simd_i64x2,wazero,time,ns/op,717283,719131,1848,0.2576388956660125,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_i64.div_s,wazero,time,ns/op,163282,165092,1810,1.1085116546833085,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/nbody,wazero,time,ns/op,47519,49296.5,1777.5,3.7406090195500674,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/isa_mem,wazero,time,ns/op,47813.5,49474.5,1661,3.4739142710740634,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkCompile_wazero,wazero,time,ns/op,69873.5,71464.5,1591,2.276971956464191,0.06493506493506493,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f64.div,wazero,time,ns/op,169209.5,170721,1511.5,0.8932713588776009,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/linked_list,wazero,time,ns/op,71879.5,73364.5,1485,2.0659576096105248,0.13203463203463203,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/branches,wazero,time,ns/op,49414.5,50883,1468.5,2.971799775369588,0.015151515151515152,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/nbody,wazero,time,ns/op,48005.5,49455.5,1450,3.0204872358375656,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/utf-as-simd.validateN,wazero,time,ns/op,179480,180900.5,1420.5,0.7914530866949043,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/quicksort,wazero,time,ns/op,48038.5,49366.5,1328,2.7644493479188625,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/raytrace,wazero,time,ns/op,47713,49016,1303,2.7309119107999935,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/spectralnorm,wazero,time,ns/op,362927,364183,1256,0.34607510601305513,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/blake-as-simd.hashN,wazero,time,ns/op,491474.5,492653.5,1179,0.2398903707109934,0.13203463203463203,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_f32.sqrt,wazero,time,ns/op,124963.5,125986,1022.5,0.8182389257663347,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/xjb-mulhi,wazero,time,ns/op,78132.5,79119.5,987,1.2632387290820057,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/fib_rec,wazero,time,ns/op,50563,51516.5,953.5,1.8857662717797652,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f64.mul,wazero,time,ns/op,39006.5,39951,944.5,2.421391306577103,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_f32.div,wazero,time,ns/op,142499.5,143396.5,897,0.6294758928978794,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f64.sub,wazero,time,ns/op,38869.5,39752,882.5,2.2704176796717324,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
