run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,benchtime,note
fixed-rss-explicit,explicit,BenchmarkCompileCompact/float,B/op,28096,13504,-51.93621867881548,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/float,allocs/op,41,41,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory,ns/op,51918.5,49172.5,-5.289058813332437,0.8181818181818182,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory,B/op,13632,12736,-6.572769953051639,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory,allocs/op,34,34,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,ns/op,62960,59733.5,-5.124682337992381,0.8181818181818182,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,B/op,28496,16976,-40.42672655811342,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/memory_tree,allocs/op,51,51,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/globals,ns/op,47810,40195,-15.927630202886423,0.09307359307359307,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/globals,B/op,13720,12952,-5.59766763848396,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/globals,allocs/op,40,40,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,ns/op,51983.5,58366.5,12.278896188213562,0.24025974025974026,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,B/op,11352,11336,-0.14094432699084392,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/dispatch,allocs/op,44,44,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/branches,ns/op,41963.5,30260.5,-27.888522168074637,0.07142857142857142,6,1x,"memory check, not a timing claim"
