run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"full","explicit","BenchmarkCompileFullWorkers/fib_rec/p1","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/fib_rec/p2","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/fib_rec/p4","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/fib_rec/p8","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/fib_rec/auto","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/json-as/p1","allocs/op",404,406,2,0.4950495049504955,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFullWorkers/lua/p1","allocs/op",2537,2539,2,0.07883326763893361,0.0021645021645021645,6
"full","explicit","BenchmarkCompileMultiModuleThroughput/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
"full","explicit","BenchmarkCompileMultiModuleThroughput/json-as/p1","allocs/op",404,406,2,0.4950495049504955,0.0021645021645021645,6
"full","explicit","BenchmarkCompileWorkers/tiny/p2","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","explicit","BenchmarkCompileWorkers/tiny/p4","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","explicit","BenchmarkCompileWorkers/tiny/p8","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","explicit","BenchmarkCompileWorkers/sqlite3/p1","allocs/op",2528,2530,2,0.07911392405062223,0.0021645021645021645,6
"full","signals","BenchmarkCompile/regexmatch","allocs/op",1951,1953,2,0.1025115325474113,0.0021645021645021645,6
"full","signals","BenchmarkCompile/wasm3","allocs/op",975,977,2,0.20512820512821328,0.0021645021645021645,6
"full","signals","BenchmarkCompile/zstd","allocs/op",231,233,2,0.8658008658008587,0.0021645021645021645,6
"full","signals","BenchmarkCompile/sqlite3","allocs/op",2528,2530,2,0.07911392405062223,0.0021645021645021645,6
"full","signals","BenchmarkCompileCompact/regexmatch","allocs/op",1947,1949,2,0.10272213662043672,0.0021645021645021645,6
"full","signals","BenchmarkCompileCompact/wasm3","allocs/op",837,839,2,0.2389486260454099,0.0021645021645021645,6
"full","signals","BenchmarkCompileCompact/zstd","allocs/op",228,230,2,0.8771929824561431,0.0021645021645021645,6
"full","signals","BenchmarkCompileCompact/sqlite3","allocs/op",2150,2152,2,0.09302325581395099,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/tiny","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/fib_iter","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/fib_rec","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/arith","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/float","allocs/op",79,81,2,2.5316455696202445,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/memory","allocs/op",89,91,2,2.2471910112359605,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/memory_tree","allocs/op",111,113,2,1.8018018018018056,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/globals","allocs/op",95,97,2,2.1052631578947434,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/dispatch","allocs/op",120,122,2,1.6666666666666607,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/branches","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/many_funcs","allocs/op",84,86,2,2.3809523809523725,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/linked_list","allocs/op",87,89,2,2.298850574712641,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/mandelbrot","allocs/op",94,96,2,2.127659574468077,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/sieve","allocs/op",88,90,2,2.2727272727272707,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/nbody","allocs/op",147,149,2,1.3605442176870763,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/spectralnorm","allocs/op",143,145,2,1.3986013986013957,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/fannkuch","allocs/op",161,163,2,1.2422360248447228,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/matmul","allocs/op",146,148,2,1.3698630136986356,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/quicksort","allocs/op",170,172,2,1.17647058823529,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/crc32","allocs/op",129,131,2,1.5503875968992276,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/sha256","allocs/op",152,154,2,1.3157894736842035,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/raytrace","allocs/op",178,180,2,1.1235955056179803,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/json-as","allocs/op",404,406,2,0.4950495049504955,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/utf-as","allocs/op",148,150,2,1.3513513513513598,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/xjb-mulhi","allocs/op",94,96,2,2.127659574468077,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/swar-pack-parse","allocs/op",92,94,2,2.1739130434782705,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/json-as-simd","allocs/op",436,438,2,0.4587155963302836,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/coremark","allocs/op",195,197,2,1.025641025641022,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/blake3","allocs/op",248,250,2,0.8064516129032251,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/qoi","allocs/op",195,197,2,1.025641025641022,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/lz4","allocs/op",149,151,2,1.342281879194629,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/zlib","allocs/op",307,309,2,0.6514657980456029,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_i32","allocs/op",135,137,2,1.4814814814814836,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_i64","allocs/op",135,137,2,1.4814814814814836,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_f32","allocs/op",129,131,2,1.5503875968992276,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_f64","allocs/op",129,131,2,1.5503875968992276,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_mem","allocs/op",108,110,2,1.85185185185186,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_bulk_mem","allocs/op",105,107,2,1.904761904761898,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_ctl","allocs/op",117,119,2,1.7094017094017033,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_call","allocs/op",149,151,2,1.342281879194629,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_var","allocs/op",93,95,2,2.1505376344086002,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_cvt","allocs/op",96,98,2,2.083333333333326,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_v128","allocs/op",97,99,2,2.0618556701030855,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_i8x16","allocs/op",163,165,2,1.2269938650306678,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_i16x8","allocs/op",175,177,2,1.1428571428571344,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_i32x4","allocs/op",170,172,2,1.17647058823529,0.0021645021645021645,6
