bounds	benchmark	unit	main	fixed	delta_percent	p
explicit	BenchmarkCompileFull/isa_var	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
signals	BenchmarkCompileFull/xjb-mulhi	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
signals	BenchmarkCompileFull/isa_var	allocs/op	93	95	2.1505376344086002	0.0021645021645021645
explicit	BenchmarkCompileWorkers/lua/p2	allocs/op	1055	1077.5	2.1327014218009532	0.0021645021645021645
explicit	BenchmarkCompileFull/mandelbrot	allocs/op	94	96	2.127659574468077	0.0021645021645021645
signals	BenchmarkCompileFull/mandelbrot	allocs/op	94	96	2.127659574468077	0.0021645021645021645
explicit	BenchmarkCompileFull/globals	allocs/op	95	97	2.1052631578947434	0.0021645021645021645
signals	BenchmarkCompileFull/globals	allocs/op	95	97	2.1052631578947434	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_cvt	allocs/op	96	98	2.083333333333326	0.0021645021645021645
signals	BenchmarkCompileFull/isa_cvt	allocs/op	96	98	2.083333333333326	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_v128	allocs/op	97	99	2.0618556701030855	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_v128	allocs/op	97	99	2.0618556701030855	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p2	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p4	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p8	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p2	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p4	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p8	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/sqlite3/p2	B/op	14399256	14676136	1.922877126429312	0.0021645021645021645
signals	BenchmarkCompileFull/isa_bulk_mem	allocs/op	105	107	1.904761904761898	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/lua/auto	allocs/op	3303	3365.5	1.8922191946715072	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_bulk_mem	allocs/op	106	108	1.8867924528301883	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_reduce	allocs/op	107	109	1.869158878504673	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_reduce	allocs/op	107	109	1.869158878504673	0.0021645021645021645
signals	BenchmarkCompileFull/isa_mem	allocs/op	108	110	1.85185185185186	0.0021645021645021645
