run,bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,prior_median,after_vs_prior_percent,p_vs_prior,benchtime,note
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/qoi,ns/op,322569.5,298249,-7.539615493715313,0.3939393939393939,6,6,283045,5.371584023741804,0.8181818181818182,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/qoi,B/op,65328,65296,-0.048983590497186924,0.0021645021645021645,6,6,65296,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/qoi,allocs/op,89,89,0,1,6,6,89,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lz4,ns/op,279158.5,189500.5,-32.117238056516285,0.025974025974025976,6,6,222020.5,-14.647296083019356,0.48484848484848486,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lz4,B/op,64064,64048,-0.024975024975026905,0.0021645021645021645,6,6,64048,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lz4,allocs/op,68,68,0,1,6,6,68,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zlib,ns/op,933725,874914.5,-6.298481887065255,0.30952380952380953,6,6,760691,15.015755411855803,0.17965367965367965,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zlib,B/op,266728,266712,-0.005998620317326786,0.0021645021645021645,6,6,266712,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zlib,allocs/op,169,169,0,1,6,6,169,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zstd,ns/op,3287941,2574886,-21.686976743195817,0.0021645021645021645,6,6,2670955.5,-3.5968214371224105,0.5887445887445888,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zstd,B/op,985912,985904,-0.0008114314462126515,0.0021645021645021645,6,6,985904,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/zstd,allocs/op,223,225,0.8968609865470878,0.0021645021645021645,6,6,225,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lua,ns/op,17451715,14879019.5,-14.741791852548591,0.0021645021645021645,6,6,14967330,-0.5900217340033209,0.3939393939393939,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lua,B/op,792376,789136,-0.4088967863741466,0.0021645021645021645,6,6,789136,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/lua,allocs/op,756,756,0,1,6,6,756,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sqlite3,ns/op,71702389.5,60956234.5,-14.987164409632403,0.0021645021645021645,6,6,61040703,-0.1383806146531441,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sqlite3,B/op,2208080,2193800,-0.6467156987065681,0.0021645021645021645,6,6,2193800,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sqlite3,allocs/op,2144,2146,0.0932835820895539,0.0021645021645021645,6,6,2146,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/ruby,ns/op,823931775,642717731,-21.993816660366083,0.0021645021645021645,6,6,648323773.5,-0.8646979686917189,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/ruby,B/op,15078760,13745608,-8.841257503932686,0.0021645021645021645,6,6,13748396,-0.02027872924230678,0.5454545454545454,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/ruby,allocs/op,4479,4473,-0.13395847287340779,0.015151515151515152,6,6,4476.5,-0.07818608287725182,0.5454545454545454,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/esbuild,ns/op,417130171,343720722.5,-17.598690673468454,0.0021645021645021645,6,6,341480959.5,0.6558968919612607,0.9372294372294372,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/esbuild,B/op,18384616,18272184,-0.6115547912450281,0.0021645021645021645,6,6,18272184,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/esbuild,allocs/op,9207,9205,-0.021722602367768573,0.0021645021645021645,6,6,9205,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i32,ns/op,346934.5,328330.5,-5.362395495403316,0.5887445887445888,6,6,250209,31.222497991678956,0.04112554112554113,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i32,B/op,30904,30840,-0.20709293295366749,0.0021645021645021645,6,6,30840,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i32,allocs/op,43,43,0,1,6,6,43,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i64,ns/op,345637.5,345287,-0.10140682072981022,0.8181818181818182,6,6,281166.5,22.80517060176088,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i64,B/op,30904,30840,-0.20709293295366749,0.0021645021645021645,6,6,30840,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_i64,allocs/op,43,43,0,1,6,6,43,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f32,ns/op,374932.5,211230.5,-43.66172577730658,0.06493506493506493,6,6,219666.5,-3.840367101947728,0.48484848484848486,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f32,B/op,34496,30368,-11.966604823747684,0.0021645021645021645,6,6,30368,0,0.45454545454545453,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f32,allocs/op,69,69,0,1,6,6,69,0,0.45454545454545453,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f64,ns/op,282163.5,234624.5,-16.84803314390415,0.13203463203463203,6,6,171946.5,36.452035953043534,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f64,B/op,34528,30400,-11.955514365152919,0.0021645021645021645,6,6,30400,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_f64,allocs/op,70,70,0,1,6,6,70,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_mem,ns/op,180057.5,137252,-23.773239104175058,0.008658008658008658,6,6,177493,-22.671880017803513,0.06493506493506493,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_mem,B/op,28592,25760,-9.904868494683827,0.0021645021645021645,6,6,25760,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_mem,allocs/op,39,39,0,1,6,6,39,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_bulk_mem,ns/op,93530,75752,-19.0078049823586,0.04112554112554113,6,6,81066.5,-6.555728938587457,0.13203463203463203,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_bulk_mem,B/op,13984,13568,-2.9748283752860427,0.0021645021645021645,6,6,13568,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_bulk_mem,allocs/op,41,41,0,1,6,6,41,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_ctl,ns/op,159574,139622,-12.50329000965069,0.13203463203463203,6,6,140899.5,-0.9066746155948047,0.5887445887445888,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_ctl,B/op,61712,61696,-0.025926886180971387,0.0021645021645021645,6,6,61696,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/isa_ctl,allocs/op,43,43,0,1,6,6,43,0,1,1x,single-operation memory check; not a timing claim
