bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/zstd	B/op	1009720	1009624	-0.009507586261536805	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/zstd	allocs/op	226	225	-0.4424778761061954	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lua	ns/op	23303399.5	18629447	-20.05695563859685	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/lua	B/op	724304	721016	-0.4539530362941524	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/lua	allocs/op	749	748	-0.1335113484646211	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sqlite3	ns/op	81724806	71429412	-12.597636511978994	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/sqlite3	B/op	2099632	2085264	-0.6843103934403794	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sqlite3	allocs/op	2522	2521	-0.03965107057890549	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/ruby	ns/op	1006469448	779479875	-22.553051506040354	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/ruby	B/op	15240288	13907064	-8.74802365939541	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/ruby	allocs/op	11013	11005	-0.07264142377190197	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/esbuild	ns/op	570022117.5	522003722.5	-8.423952953018532	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/esbuild	B/op	18739176	18626680	-0.6003252224110578	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/esbuild	allocs/op	11034	11030	-0.036251586006885717	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i32	ns/op	269086.5	209457	-22.159974580664578	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i32	B/op	28396.5	27856	-1.9034035884704092	0.004329004329004329	6	6	paired
explicit	BenchmarkCompile/isa_i32	allocs/op	36	36	0	1	6	6	paired
explicit	BenchmarkCompile/isa_i64	ns/op	300375.5	205563	-31.5646582361078	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_i64	B/op	28573.5	27856	-2.5110679475737974	0.004329004329004329	6	6	paired
explicit	BenchmarkCompile/isa_i64	allocs/op	36	36	0	1	6	6	paired
explicit	BenchmarkCompile/isa_f32	ns/op	236059.5	130168.5	-44.85775831940676	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f32	B/op	28429	25272	-11.104857715712823	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f32	allocs/op	45	45	0	1	6	6	paired
explicit	BenchmarkCompile/isa_f64	ns/op	202714.5	136217	-32.80352416822674	0.06493506493506493	6	6	paired
explicit	BenchmarkCompile/isa_f64	B/op	27899	25272	-9.416108104233123	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_f64	allocs/op	45	45	0	1	6	6	paired
explicit	BenchmarkCompile/isa_mem	ns/op	150329	114700.5	-23.700350564428685	0.06493506493506493	6	6	paired
explicit	BenchmarkCompile/isa_mem	B/op	26863.5	25832	-3.839782604649433	0.017316017316017316	6	6	paired
explicit	BenchmarkCompile/isa_mem	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	ns/op	45114.5	54163.5	20.057852796772657	0.13203463203463203	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	B/op	11862.5	11400	-3.898840885142252	0.4523809523809524	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompile/isa_ctl	ns/op	136150	123688.5	-9.152772677194276	0.3939393939393939	6	6	paired
explicit	BenchmarkCompile/isa_ctl	B/op	59404.5	59008	-0.6674578525195929	0.047619047619047616	6	6	paired
explicit	BenchmarkCompile/isa_ctl	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompile/isa_call	ns/op	58189.5	49537.5	-14.86866187198721	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/isa_call	B/op	28066	27880	-0.6627235801325404	0.24242424242424243	6	6	paired
explicit	BenchmarkCompile/isa_call	allocs/op	67	67	0	1	6	6	paired
explicit	BenchmarkCompile/isa_var	ns/op	47651.5	35913.5	-24.633012601911798	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/isa_var	B/op	23072.5	25184	9.151587387582616	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_var	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/isa_cvt	ns/op	111152.5	87943.5	-20.880322080025195	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/isa_cvt	B/op	20504	19064	-7.023019898556382	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_cvt	allocs/op	30	30	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	ns/op	103505	95377.5	-7.852277667745522	0.09307359307359307	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	B/op	26544	26528	-0.06027727546714656	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	ns/op	383677.5	354885	-7.504349355904372	0.30952380952380953	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	B/op	29824	27648	-7.296137339055797	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	ns/op	496046	486367	-1.9512303294452527	0.5887445887445888	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	B/op	28472	28344	-0.44956448440572894	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	allocs/op	29	29	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	ns/op	484663	439730	-9.270977978512907	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	B/op	28336	28208	-0.45172219085262144	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	allocs/op	30	30	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	ns/op	348694.5	245194.5	-29.682142964686854	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	B/op	26872	26808	-0.23816612086930977	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	ns/op	369200.5	269482	-27.009307950558025	0.06493506493506493	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	B/op	27104	27040	-0.23612750885477762	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	allocs/op	29	29	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	ns/op	351166	256649	-26.91519110620049	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	B/op	27056	26992	-0.23654642223536193	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	ns/op	114882	92930	-19.108302432060718	0.17965367965367965	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	B/op	25744	25712	-0.12430080795524656	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	allocs/op	31	31	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	ns/op	534223.5	325413.5	-39.086636959998955	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	code-B	11469	11469	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	B/op	140526	140415.5	-0.07863313550516837	0.0021645021645021645	6	6	paired
