goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
                                                                 │ /tmp/wago-pr564-HbN430/base-explicit.txt │ /tmp/wago-pr564-HbN430/candidate-explicit.txt │
                                                                 │                  sec/op                  │         sec/op          vs base               │
CompileFull/isa_simd_i16x8-8                                                                  874.4µ ±   3%            550.5µ ±  13%  -37.04% (p=0.002 n=6)
CompileFull/isa_simd_i32x4-8                                                                  804.8µ ±   3%            519.3µ ±   3%  -35.48% (p=0.002 n=6)
CompileFull/isa_simd_i64x2-8                                                                  498.6µ ±   4%            324.3µ ±   5%  -34.95% (p=0.002 n=6)
CompileFull/isa_simd_f32x4-8                                                                  519.2µ ±   7%            323.0µ ±  10%  -37.79% (p=0.002 n=6)
CompileFull/isa_simd_f64x2-8                                                                  519.4µ ±  13%            322.2µ ±  21%  -37.97% (p=0.002 n=6)
CompileFull/isa_simd_reduce-8                                                                 161.3µ ±  17%            109.6µ ±   6%  -32.02% (p=0.002 n=6)
CompileFullWorkers/tiny/p1-8                                                                  16.99µ ±   3%            16.71µ ±   4%        ~ (p=0.240 n=6)
CompileFullWorkers/tiny/p2-8                                                                  36.31µ ±   2%            37.12µ ±  13%        ~ (p=0.240 n=6)
CompileFullWorkers/tiny/p4-8                                                                  36.93µ ±   5%            37.75µ ±   9%        ~ (p=0.485 n=6)
CompileFullWorkers/tiny/p8-8                                                                  36.60µ ±  10%            37.82µ ±  24%        ~ (p=0.180 n=6)
CompileFullWorkers/tiny/auto-8                                                                19.16µ ±  10%            18.70µ ±   6%        ~ (p=0.699 n=6)
CompileFullWorkers/fib_rec/p1-8                                                               19.93µ ±   5%            19.11µ ±   3%        ~ (p=0.180 n=6)
CompileFullWorkers/fib_rec/p2-8                                                               19.77µ ±   7%            19.56µ ±   7%        ~ (p=0.485 n=6)
CompileFullWorkers/fib_rec/p4-8                                                               20.45µ ±   6%            19.46µ ±   4%        ~ (p=0.093 n=6)
CompileFullWorkers/fib_rec/p8-8                                                               20.46µ ±   5%            20.35µ ±  16%        ~ (p=0.818 n=6)
CompileFullWorkers/fib_rec/auto-8                                                             20.24µ ±   9%            20.21µ ±  10%        ~ (p=0.699 n=6)
CompileFullWorkers/many_funcs/p1-8                                                            467.3µ ±   9%            417.4µ ±   7%  -10.68% (p=0.002 n=6)
CompileFullWorkers/many_funcs/p2-8                                                            404.9µ ±   3%            354.1µ ±  15%  -12.55% (p=0.041 n=6)
CompileFullWorkers/many_funcs/p4-8                                                            341.8µ ±   4%            298.3µ ±  11%  -12.71% (p=0.002 n=6)
CompileFullWorkers/many_funcs/p8-8                                                            343.5µ ±   5%            300.9µ ±  13%  -12.41% (p=0.009 n=6)
CompileFullWorkers/many_funcs/auto-8                                                          348.4µ ±  12%            294.1µ ±   5%  -15.59% (p=0.002 n=6)
CompileFullWorkers/json-as/p1-8                                                               1.849m ±   8%            1.329m ±  26%  -28.12% (p=0.002 n=6)
CompileFullWorkers/json-as/p2-8                                                              1470.8µ ±   5%            963.4µ ±  17%  -34.50% (p=0.002 n=6)
CompileFullWorkers/json-as/p4-8                                                              1212.0µ ±   6%            730.5µ ±   6%  -39.73% (p=0.002 n=6)
CompileFullWorkers/json-as/p8-8                                                              1228.3µ ±   4%            695.3µ ±   9%  -43.40% (p=0.002 n=6)
CompileFullWorkers/json-as/auto-8                                                            1238.1µ ±   6%            729.1µ ±   4%  -41.11% (p=0.002 n=6)
CompileFullWorkers/blake-as/p1-8                                                              488.9µ ±   2%            319.5µ ±   5%  -34.65% (p=0.002 n=6)
CompileFullWorkers/blake-as/p2-8                                                              422.5µ ±   9%            274.2µ ±  40%  -35.09% (p=0.002 n=6)
CompileFullWorkers/blake-as/p4-8                                                              451.6µ ±   3%            298.4µ ±   6%  -33.94% (p=0.002 n=6)
CompileFullWorkers/blake-as/p8-8                                                              457.4µ ±   6%            308.5µ ±   7%  -32.57% (p=0.002 n=6)
CompileFullWorkers/blake-as/auto-8                                                            492.6µ ±  32%            313.9µ ±   4%  -36.28% (p=0.002 n=6)
CompileFullWorkers/lua/p1-8                                                                   26.38m ±   4%            18.95m ±   4%  -28.16% (p=0.002 n=6)
CompileFullWorkers/lua/p2-8                                                                   19.53m ±   2%            11.72m ±  10%  -39.97% (p=0.002 n=6)
CompileFullWorkers/lua/p4-8                                                                  15.973m ±   3%            8.265m ±   5%  -48.26% (p=0.002 n=6)
CompileFullWorkers/lua/p8-8                                                                  14.442m ±   2%            6.358m ±  10%  -55.98% (p=0.002 n=6)
CompileFullWorkers/lua/auto-8                                                                15.876m ±   3%            7.859m ±   6%  -50.49% (p=0.002 n=6)
CompileFullWorkers/sqlite3/p1-8                                                              101.67m ±   2%            72.01m ±   6%  -29.17% (p=0.002 n=6)
CompileFullWorkers/sqlite3/p2-8                                                               71.87m ±   2%            42.57m ±   8%  -40.77% (p=0.002 n=6)
CompileFullWorkers/sqlite3/p4-8                                                               55.75m ±   2%            27.49m ±   8%  -50.68% (p=0.002 n=6)
CompileFullWorkers/sqlite3/p8-8                                                               49.20m ±   4%            19.83m ±   5%  -59.71% (p=0.002 n=6)
