bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkCompileFullWorkers/tiny/p4	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p8	allocs/op	100	102	2.0000000000000018	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/esbuild/p8	allocs/op	33548	34218	1.9971384285203397	0.9372294372294372
explicit	BenchmarkCompileFullWorkers/sqlite3/p8	B/op	19095273	19469448	1.9595163682655903	0.30952380952380953
explicit	BenchmarkCompileWorkers/esbuild/p8	B/op	130570892	133127852	1.9582925113202032	0.17965367965367965
explicit	BenchmarkCompileWorkers/sqlite3/p4	allocs/op	3559	3627	1.9106490587243563	0.0021645021645021645
signals	BenchmarkCompileFull/isa_bulk_mem	allocs/op	105	107	1.904761904761898	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_bulk_mem	allocs/op	106	108	1.8867924528301883	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_reduce	allocs/op	107	109	1.869158878504673	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_reduce	allocs/op	107	109	1.869158878504673	0.0021645021645021645
signals	BenchmarkCompileFull/isa_mem	allocs/op	108	110	1.85185185185186	0.0021645021645021645
signals	BenchmarkCompileFull/memory_tree	allocs/op	111	113	1.8018018018018056	0.0021645021645021645
explicit	BenchmarkCompileFull/memory_tree	allocs/op	112	114	1.7857142857142794	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/esbuild/p8	allocs/op	34344	34952.5	1.7717796412765052	0.30952380952380953
explicit	BenchmarkCompileFull/isa_mem	allocs/op	113	115	1.7699115044247815	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/lua/p4	allocs/op	3303.5	3361.5	1.7557136370516035	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/auto	allocs/op	3273	3330	1.7415215398716821	0.0021645021645021645
signals	BenchmarkCompileWorkers/ruby/p8	allocs/op	14249	14497	1.7404730156502124	0.008658008658008658
explicit	BenchmarkCompileFullWorkers/many_funcs/p2	allocs/op	115	117	1.7391304347825987	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p2	allocs/op	115	117	1.7391304347825987	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p4	allocs/op	3556.5	3618	1.7292281737663506	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_ctl	allocs/op	117	119	1.7094017094017033	0.0021645021645021645
signals	BenchmarkCompileFull/isa_ctl	allocs/op	117	119	1.7094017094017033	0.0021645021645021645
explicit	BenchmarkCompileFull/dispatch	allocs/op	119	121	1.680672268907557	0.0021645021645021645
