variant,run,bounds,benchmark,unit,main_median,prior_pr_median,after_median,change_vs_main_percent,p_vs_main,change_vs_prior_percent,p_vs_prior,samples_each,benchtime,note
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/lua/p8,allocs/op,2212,2174.5,2175,-1.672694394213381,0.0021645021645021645,0.022993791676251263,0.7619047619047619,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/esbuild/p4,ns/op,181002182,94467761,94440296,-47.82366988260948,0.0021645021645021645,-0.029073410557489687,0.5887445887445888,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/esbuild/p4,code-B,26622496,26622496,26622496,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/esbuild/p4,B/op,121873271.5,121662917.5,121600230.5,-0.22403681844217482,1,-0.05152514939484876,0.9372294372294372,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/esbuild/p4,allocs/op,19544,19211.5,19228.5,-1.6143061809250958,0.48484848484848486,0.08848866564297175,0.8181818181818182,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,ns/op,22252620.5,9985022.5,10097204.5,-54.624649712603514,0.0021645021645021645,1.123502726208181,0.48484848484848486,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,code-B,3636329,3636329,3636329,0,1,0,1,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,B/op,16747552.5,16384268,16363721,-2.2918662294087455,0.13203463203463203,-0.1254068842135636,0.6991341991341992,6,500ms,rejected serial-gate experiment
hintwork,hintwork-warm-signals,signals,BenchmarkCompileWorkers/sqlite3/p8,allocs/op,4506.5,4512.5,4515.5,0.19971152779318935,0.025974025974025976,0.06648199445984382,0.8463203463203464,6,500ms,rejected serial-gate experiment
hintscratch,hintscratch-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,ns/op,814798.5,573562.5,603559,-25.92536682382208,0.004329004329004329,5.2298572518252096,0.8181818181818182,6,1x,"memory check, not a timing claim"
hintscratch,hintscratch-cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p4,code-B,57638,57638,57638,0,1,0,1,6,1x,"memory check, not a timing claim"
