goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3129 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3475 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3307 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3352 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3306 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3248 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-reuse-16         	    1000	      3160 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     16690 ns/op	         1.004 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     16866 ns/op	         1.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     15095 ns/op	         1.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     15505 ns/op	         1.002 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     15005 ns/op	         1.008 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     17287 ns/op	         1.004 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     16718 ns/op	         1.001 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     15998 ns/op	         1.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     16495 ns/op	         1.010 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/guard-fresh-16         	    1000	     16405 ns/op	         1.002 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2743 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2234 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2469 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2733 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      3115 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2568 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2507 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2693 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2468 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=0/explicit-reuse-16      	    1000	      2691 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      6029 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5397 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5984 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5501 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5160 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5611 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5310 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      7454 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5859 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-reuse-16      	    1000	      5582 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     17570 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     17112 ns/op	         2.006 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     17946 ns/op	         2.004 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     17219 ns/op	         2.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     16881 ns/op	         2.003 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     16769 ns/op	         2.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     16887 ns/op	         2.004 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     18736 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
