goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17875	      6693 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17623	      6913 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8609 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   17125	      6394 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8030 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=1-16          	   16296	      6570 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    9234	     15177 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17245 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    8391	     13714 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    7485	     14910 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    7645	     14524 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    7407	     14561 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    9423	     15186 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    9486	     15380 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17246 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    9766	     14326 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    7653	     15056 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17238 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=2-16          	    7447	     14891 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17241 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    9384	     15079 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17240 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    9181	     14792 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    7218	     14328 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17245 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    7552	     14940 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    9615	     13994 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    9372	     14635 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    7525	     14354 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17245 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    9688	     14694 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17245 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    7449	     14023 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17243 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=4-16          	    7422	     14508 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    7704	     14634 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    7754	     14797 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    9841	     14317 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    6838	     15336 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17242 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    8038	     14578 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17243 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    7923	     14724 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    9274	     14930 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    8874	     14400 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17244 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    7753	     14245 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17243 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=8-16          	    7754	     14046 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   17245 B/op	      45 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   16675	      6617 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
