goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     14471 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15560 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     14585 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Instantiate-16             	    1000	     15455 ns/op	    5672 B/op	      91 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12619 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12500 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12818 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12237 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12789 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12229 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12725 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12567 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12756 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/LookupExecute-16           	    1000	     12518 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9763 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	     10039 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9577 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9609 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9378 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9439 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9448 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9514 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9957 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Close-16                   	    1000	      9485 ns/op	     480 B/op	       9 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     48334 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     48367 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     48046 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     48907 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     47668 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     49279 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     50114 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     49765 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     49948 ns/op	   39112 B/op	     478 allocs/op
BenchmarkCommandLifecycleDiagnostic/tinyxml2/Lifecycle-16               	    1000	     48186 ns/op	   39112 B/op	     478 allocs/op
PASS
