# draglinecompare raw v1
# target compat
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_s/railshot-16    	   70987	      8517 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_s/dragline-16    	   77098	      7781 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_u/railshot-16    	   70036	      8506 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_u/dragline-16    	   77193	      7776 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_s/railshot-16    	   69400	      8540 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_s/dragline-16    	   77269	      7771 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_u/railshot-16    	   70827	      8556 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_u/dragline-16    	   76869	      7776 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_s/railshot-16    	   70191	      8576 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_s/dragline-16    	   77230	      7770 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_u/railshot-16    	   70066	      8583 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_u/dragline-16    	   77217	      7783 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.add/railshot-16         	   19819	     30274 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.add/dragline-16         	  142020	      4079 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sub/railshot-16         	   19815	     30253 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sub/dragline-16         	  146901	      4082 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.mul/railshot-16         	   13452	     44634 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.mul/dragline-16         	  102754	      5840 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.div/railshot-16         	    5140	    116576 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.div/dragline-16         	   41096	     14608 ns/op	       0 B/op	       0 allocs/op
